composition_type_id,description,material_strategy,max_speed_kmh,hsr_allowed,zugchef_crew_factor,length_cost_prop,food_and_beverages,loco_type_ids,source_ids,notes
REF-BUD-6,"Small budget oriented formation (seats, couchettes) simliar to Snalltaget",refurbished,200,False,1.19,0.7,kiosk/ trolley service/ morning service,VECTRON-MS-200,S47,
REF-COUCH-6,Small couchette heavy formation simliar to Intercity Notte FS 6-coaches formation,refurbished,200,False,1.19,0.7,kiosk/ trolley service/ morning service,VECTRON-MS-200,S47,
REF-BAL-9,"Balanced  formation with 9 coaches, similar to current SBB/ÖBB-operated consists",refurbished,200,False,1.19,0.7,kiosk/ trolley service/ morning service,VECTRON-MS-200,S47,
REF-COUCH-10,Couchette heavy 10 coach formation (similar to SNCF Intercity nuit),refurbished,200,False,1.19,0.7,kiosk/ trolley service/ morning service,VECTRON-MS-200,S47,
REF-BUD-12,Large seat and couchette mix simliar to Intercity Notte FS 12-coaches formation,refurbished,200,False,1.19,0.7,kiosk/ trolley service/ morning service,VECTRON-MS-200,S47,
REF-PREM-12,Large couchette and sleeper mix simliar to European Sleeper operation,refurbished,200,False,1.19,0.7,dining car,VECTRON-MS-200,S47,
NEW-BAL-7,Similar to OEBB nightjet next generation,new,230,True,1.19,0.7,kiosk/ trolley service/ morning service,VECTRON-MS-230,S47,
NEW-BAL-14,Similar to OEBB nightjet next generation double formation,new,230,True,1.19,0.7,kiosk/ trolley service/ morning service,VECTRON-MS-230,S47,
REF-NOR-7,"Refurbished loco-hauled formation similar to the Norwegian night trains (SJ Nord / Vy / Go-Ahead): Class 5 seat, reclining-seat, family and bistro coaches with two WLAB2 sleepers",refurbished,200,False,1.19,0.7,bistro coach,VECTRON-MS-200,S48;S49;S50,"max_speed_kmh set to the refurbished-family routing speed (200), not the WLAB2's real 150 km/h limit — per-coach speed constraints are a manual modelling judgement (routing profiles are per material family, not per coach; a 150 km/h profile is not worth the added routing complexity for one composition). 2026-09 batch (Josua) — coach order TO_VERIFY against a real consist"
REF-ROOM-14,"All-private-room formation similar to the Nox concept: 14 identical converted ex-InterCity coaches, ~500 places, no shared compartments",refurbished,200,False,1.19,0.7,room service (app-ordered) TO_VERIFY,VECTRON-MS-200,S51;S52;S53;S56,"modelled as refurbished: Nox launches on converted used coaches amortised over ~10 years (S51, S56); a new-build variant would need its own coach type; 2026-09 batch (Josua)"
REF-POD-7,Pod formation similar to the Luna Rail concept on converted coaches: Seat Pod coaches plus single and multi-passenger Hotel Pod coaches,refurbished,200,False,1.19,0.7,app-ordered service to the pod TO_VERIFY,VECTRON-MS-200,S54;S55,"modelled as refurbished: the concept is applied to existing coaches first (S54, S55), the new-vehicle variant is a later step; coach mix is the 2026-09 proposal (Josua) TO_VERIFY"
REF-POD-14,Double-length pod formation similar to the Luna Rail concept on converted coaches,refurbished,200,False,1.19,0.7,app-ordered service to the pod TO_VERIFY,VECTRON-MS-200,S54;S55,two REF-POD-7 rakes; 2026-09 batch (Josua) TO_VERIFY
