country_code,parameter,value,unit,status,source_id,locator,currency,basis_year,note,low,high
AT,terrain_ascent_m_per_km,8.5,m/km,assumed,,,EUR,2026,"Judgement from main-corridor topography: Alps dominate — Semmering, Tauern, Arlberg; only the Danube valley is easy. Right in ranking and band, roughly +/-1 m/km; not a measurement. National figure hides a within-country spread wider than the between-country spread.",7.5,9.5
AT,ruling_gradient_permille,27.0,per mille,assumed,,,EUR,2026,"Typical ruling gradient on the country's main corridors, from published line profiles.",21.6,32.4
AT,network_utilisation,30.61,k train-km per line-km,benchmark,RMMS-9,Fig.5 x Fig.69,EUR,2022,total train-km per line-km,,
AT,punctuality_ld,0.814,share,benchmark,RMMS-9,Fig.116,EUR,2022,long-distance and high-speed passenger services on time,,
AT,timetable_buffer_pct,8.32,%,derived,RMMS-9,Fig.69 + Fig.116,EUR,2022,4.0 + 2.5 x sqrt(30.61/18.67) + 6.0 x (1 - 0.814). The delay coefficient is the least anchored parameter; the Back-on-Track trip database is the intended verification.,,
AT,min_dwell_min,2.0,min/stop,assumed,,,EUR,2026,"Minimum boarding and alighting time at every commercial stop, uniform across countries. A floor, not a value: a longer operational requirement replaces it. Additive, never multiplied by the buffer, since dwell is not running time.",2.0,5.0
AT,hsr_allowed,0.0,flag,assumed,,,EUR,2032,2032 base scenario bars night trains from HSR infrastructure; scenario 3 flips this for every country in lockstep.,0.0,1.0
BE,terrain_ascent_m_per_km,1.9,m/km,assumed,,,EUR,2026,"Judgement from main-corridor topography: flat Flanders offset by the Ardennes on the Liege-Aachen axis. Right in ranking and band, roughly +/-1 m/km; not a measurement.",0.8999999999999999,2.9
BE,ruling_gradient_permille,16.0,per mille,assumed,,,EUR,2026,"Typical ruling gradient on the country's main corridors, from published line profiles.",12.8,19.2
BE,network_utilisation,30.7,k train-km per line-km,benchmark,RMMS-9,Fig.5 x Fig.69,EUR,2022,total train-km per line-km,,
BE,punctuality_ld,0.878,share,benchmark,RMMS-9,Fig.116,EUR,2022,long-distance and high-speed passenger services on time,,
BE,timetable_buffer_pct,7.94,%,derived,RMMS-9,Fig.69 + Fig.116,EUR,2022,4.0 + 2.5 x sqrt(30.70/18.67) + 6.0 x (1 - 0.878). The delay coefficient is the least anchored parameter; the Back-on-Track trip database is the intended verification.,,
BE,min_dwell_min,2.0,min/stop,assumed,,,EUR,2026,"Minimum boarding and alighting time at every commercial stop, uniform across countries. A floor, not a value: a longer operational requirement replaces it. Additive, never multiplied by the buffer, since dwell is not running time.",2.0,5.0
BE,hsr_allowed,0.0,flag,assumed,,,EUR,2032,2032 base scenario bars night trains from HSR infrastructure; scenario 3 flips this for every country in lockstep.,0.0,1.0
BG,terrain_ascent_m_per_km,4.5,m/km,assumed,,,EUR,2026,"Judgement from main-corridor topography: Balkan range bisects the country; Sofia sits at 550 m. Right in ranking and band, roughly +/-1 m/km; not a measurement.",3.5,5.5
BG,ruling_gradient_permille,25.0,per mille,assumed,,,EUR,2026,"Typical ruling gradient on the country's main corridors, from published line profiles.",20.0,30.0
BG,network_utilisation,7.85,k train-km per line-km,benchmark,RMMS-9,Fig.5 x Fig.69,EUR,2022,total train-km per line-km,,
BG,punctuality_ld,0.867,share,benchmark,RMMS-9,Fig.116,EUR,2022,long-distance and high-speed passenger services on time,,
BG,timetable_buffer_pct,6.42,%,derived,RMMS-9,Fig.69 + Fig.116,EUR,2022,4.0 + 2.5 x sqrt(7.85/18.67) + 6.0 x (1 - 0.867). The delay coefficient is the least anchored parameter; the Back-on-Track trip database is the intended verification.,,
BG,min_dwell_min,2.0,min/stop,assumed,,,EUR,2026,"Minimum boarding and alighting time at every commercial stop, uniform across countries. A floor, not a value: a longer operational requirement replaces it. Additive, never multiplied by the buffer, since dwell is not running time.",2.0,5.0
BG,hsr_allowed,0.0,flag,assumed,,,EUR,2032,2032 base scenario bars night trains from HSR infrastructure; scenario 3 flips this for every country in lockstep.,0.0,1.0
CH,terrain_ascent_m_per_km,9.5,m/km,assumed,,,EUR,2026,"Judgement from main-corridor topography: every transit crosses the Alps, though the base tunnels have cut the worst. Right in ranking and band, roughly +/-1 m/km; not a measurement. National figure hides a within-country spread wider than the between-country spread.",8.5,10.5
