source_id,short_id,title,publisher,pub_year,price_basis_year,currency,kind,url_or_file,date_accessed,reliability_note
APS-STROMSTEUER,aps_2016,EU-Vergleich Besteuerung von Eisenbahn-Fahrstrom,Allianz pro Schiene,2016,2016,EUR,advocacy_analysis,Stromsteuer Eisenbahn.pdf,2026-07-27,Nominal rates; superseded by CE-DELFT-4K83 where they disagree
AT-SNNB-2026,at_snnb26,Schienennetz-Nutzungsbedingungen 2026,OeBB-Infrastruktur,2025,2026,EUR,network_statement,SNNB_2026.pdf,2026-07-27,Carries the Bahnstromnetz tariff (Tab.59 p.114) and the Abstellkapazitaeten table
AT-SNNB-2027,at_snnb27,Schienennetz-Nutzungsbedingungen 2027,OeBB-Infrastruktur,2026,2027,EUR,network_statement,SNNB 2027.pdf,2026-07-27,Two-part IBE; congestion surcharge only on declared overloaded sections
BE-NS-2027,be_ns27,Network Statement 2027 + Appendix F.2,Infrabel,2026,2026,EUR,network_statement,NS 2027_20260630.pdf,2026-07-27,Six-decimal indexed unit prices; mark-ups by line density and time band
BG-NRIC-2026,bg_nric26,"Charges and Prices, Annex 5.3.2 v.06",NRIC,2026,2026,EUR,network_statement,Annex 5.3.2 v.06.pdf,2026-07-27,Effective 1 Feb 2026; marshalling track charge is per metre per 24 h
BOT-NIGHTTRAIN-DB,bot_db,Back-on-Track night train database,Back-on-Track,2026,2026,EUR,internal_extraction,B-o-T_nighttrain_DB.xlsx,2026-07-27,345 active trips with usable timings; verification target for the timetable buffer
CE-DELFT-4K83,ce_delft,Transport taxes and charges in Europe (4.K83) + database,CE Delft for the EC,2019,2016,EUR,study,4_K83 overview PPS-adjusted.xlsx,2026-07-27,"Rail electricity tax by country, PPS-adjusted; only aggregate EU source on rail exemptions"
CH-NZV,ch_nzv,Netzzugangsverordnung SR 742.122,Swiss Confederation,2026,2026,CHF,regulation,SR-742.122-01012026-DE.pdf,2026-07-27,"Art. 19a/20/20a: path price, peak factor, Deckungsbeitrag, traction current"
CH-NZV-BAV,ch_nzvbav,NZV-BAV SR 742.122.4 status 01.02.2026,Bundesamt fuer Verkehr,2026,2026,CHF,regulation,fedlex 2026-02-01.pdf,2026-07-27,Anhang 1: line categories and Basispreis Verschleiss
CT-GETLINK-2026,ct_getlink,Fixed Link Usage Annual Statement 2026 Annexe 4,Getlink,2026,2020,EUR,network_statement,drr_ns_2026_en_final1.pdf,2026-07-27,Night passenger trains run at 120 km/h off-peak; charge has a per-passenger component
