country_code,parameter,value,unit,status,source_id,locator,currency,basis_year,note,low,high
--,market_topup_loco_crew,190.0,EUR/event,assumed,NOX-MODEL,line 213,EUR,2030,"One hour of shunting locomotive plus crew bought on the market. Calibrated so the German rotation reproduces the nox model's OPS Infrastructure Access line (307.55 EUR/trip) and cross-checked against the three full-scope sourced tariffs (AT 99, ES 148, HU 263; mean ~170).",120.0,260.0
--,market_topup_loco_only,110.0,EUR/event,assumed,NOX-MODEL,line 213,EUR,2030,"Locomotive alone, where the IM already supplies the crew (GR, PT).",70.0,160.0
--,labour_index_band,1.0,index,assumed,RAMBOLL-BMDV,slide 6,EUR,2025,"Three-tier index anchored on the driver-hour band of 62-104 EUR/h (1.68x spread, midpoint 83). Applied to the market top-up only.",0.75,1.25
--,default_shunting_im,10.0,EUR/event,assumed,,,EUR,2027,"Track-access-only level observed where the IM sells the facility rather than the service (DE 10.80, SI 13.27, PL 1.72). Used where no facility price list has been read.",0.0,40.0
--,default_parking_rate,0.2,EUR/m/day,assumed,,,EUR,2027,"Median of the four sourced length-based tariffs (AT 0.150, BG 0.20, NO 0.123, HR 0.053). Gives 60 EUR/day for the 300 m reference train, consistent with the sourced per-event values.",0.05,0.35
AT,shunting_im,99.25,EUR/event,derived,AT-SNNB-2026,Tab.44,EUR,2026,"39.70 EUR/h shunting leader with loco operation x 5 h minimum deployment, shared across the two moves of one turnaround",,
AT,shunting_allin,99.25,EUR/event,derived,AT-SNNB-2026,Tab.44,EUR,2026,IM tariff 99.25 + full top-up 0 x index 1.25,,
AT,parking_rate,0.15,EUR/m/day,sourced,AT-SNNB-2026,Tab.49 item 4.2.2,EUR,2026,"4.57 EUR/m/month on a long-term booking, the realistic mode for a daily rotation",,
AT,parking_per_event_ref,45.0,EUR/event,derived,AT-SNNB-2026,Tab.49 item 4.2.2,EUR,2026,"per_metre_day basis, 300 m x 12 h, 0 h free allowance",,
BE,shunting_im,39.004714,EUR/event,sourced,BE-NS-2027,App F.2 sheet 3.1.1.1,EUR,2026,unit cost per access to a service facility,,
BE,shunting_allin,276.5,EUR/event,derived,BE-NS-2027,App F.2 sheet 3.1.1.1,EUR,2026,IM tariff 39.00 + track top-up 190 x index 1.25,,
BE,parking_per_event,0.0,EUR/event,not_levied,BE-NS-2027,App F.2 sheet 3.1.2.2,EUR,2026,occupancy charged only in yards declared congested,,
BE,parking_per_event_ref,0.0,EUR/event,derived,BE-NS-2027,App F.2 sheet 3.1.2.2,EUR,2026,"per_event basis, 300 m x 12 h, 0 h free allowance",,
BG,shunting_im,2.2,EUR/event,sourced,BG-NRIC-2026,§2.6.2,EUR,2026,"0.20 EUR per draw-out/marshalling track use, assumed per vehicle x 11",,
BG,shunting_allin,144.7,EUR/event,derived,BG-NRIC-2026,§2.6.2,EUR,2026,IM tariff 2.20 + track top-up 190 x index 0.75,,
BG,parking_rate,0.2,EUR/m/day,sourced,BG-NRIC-2026,§12,EUR,2026,per metre of length per 24 h,,
BG,parking_per_event_ref,60.0,EUR/event,derived,BG-NRIC-2026,§12,EUR,2026,"per_metre_day basis, 300 m x 12 h, 0 h free allowance",,
CH,shunting_im,10.0,EUR/event,assumed,,,EUR,2027,"track-scope default, see BASIS",0.0,40.0
CH,shunting_allin,247.5,EUR/event,derived,,,EUR,2027,IM tariff 10.00 + track top-up 190 x index 1.25,,
CH,parking_rate,0.2,EUR/m/day,assumed,,,EUR,2027,"median default, see BASIS",0.05,0.35
CH,parking_per_event_ref,60.0,EUR/event,derived,,,EUR,2027,"per_metre_day basis, 300 m x 12 h, 0 h free allowance",,
CZ,shunting_im,10.0,EUR/event,assumed,,,EUR,2027,"track-scope default, see BASIS",0.0,40.0
CZ,shunting_allin,200.0,EUR/event,derived,,,EUR,2027,IM tariff 10.00 + track top-up 190 x index 1.00,,
CZ,parking_rate,0.2,EUR/m/day,assumed,,,EUR,2027,"median default, see BASIS",0.05,0.35
CZ,parking_per_event_ref,60.0,EUR/event,derived,,,EUR,2027,"per_metre_day basis, 300 m x 12 h, 0 h free allowance",,
DE,shunting_im,10.8,EUR/event,sourced,DE-APS-2027,§2.1 Zugbildung I,EUR,2027,1 h on a train-formation object; the loco and crew are a separate market. Facilities with an Anlagendisponent escalate steeply — 722.40 EUR for a 12 h stay.,,
DE,shunting_allin,248.3,EUR/event,derived,DE-APS-2027,§2.1 Zugbildung I,EUR,2027,IM tariff 10.80 + track top-up 190 x index 1.25,,
DE,parking_per_hour,6.02,EUR/h,sourced,DE-APS-2027,§2.1 Abstellung I,EUR,2027,length-independent by design — the APS calls the disponent charge expressly zuglaengenunabhaengig,,
DE,parking_per_event_ref,72.24,EUR/event,derived,DE-APS-2027,§2.1 Abstellung I,EUR,2027,"per_hour basis, 300 m x 12 h, 0 h free allowance",,
DK,shunting_im,0.0,EUR/event,not_levied,DK-NS-2027,§3.5,EUR,2027,no infrastructure charges for operations or parking on sidings,,
DK,shunting_allin,237.5,EUR/event,derived,DK-NS-2027,§3.5,EUR,2027,IM tariff 0.00 + track top-up 190 x index 1.25,,
DK,parking_per_event,0.0,EUR/event,not_levied,DK-NS-2027,§3.5,EUR,2027,no siding charges,,
DK,parking_per_event_ref,0.0,EUR/event,derived,DK-NS-2027,§3.5,EUR,2027,"per_event basis, 300 m x 12 h, 0 h free allowance",,
EE,shunting_im,10.0,EUR/event,assumed,,,EUR,2027,"track-scope default, see BASIS",0.0,40.0
EE,shunting_allin,200.0,EUR/event,derived,,,EUR,2027,IM tariff 10.00 + track top-up 190 x index 1.00,,
EE,parking_rate,0.2,EUR/m/day,assumed,,,EUR,2027,"median default, see BASIS",0.05,0.35
